ENSG00000093009 ENSG00000166803
ENSG00000137807 ENSG00000157456
ENSG00000144736 ENSG00000163634
ENSG00000147669 ENSG00000172172
ENSG00000004939 ENSG00000112077
ENSG00000087206 ENSG00000196670
ENSG00000047249 ENSG00000167904
ENSG00000130717 ENSG00000148300
ENSG00000104671 ENSG00000158856
ENSG00000273802 ENSG00000277075
ENSG00000072571 ENSG00000090889
ENSG00000117650 ENSG00000169607
ENSG00000043093 ENSG00000121864
ENSG00000066777 ENSG00000169139
ENSG00000163220 ENSG00000163221
ENSG00000036054 ENSG00000178694
ENSG00000134574 ENSG00000161513
ENSG00000122592 ENSG00000253293
ENSG00000136521 ENSG00000163655
ENSG00000129691 ENSG00000147439
ENSG00000134440 ENSG00000152234
ENSG00000071994 ENSG00000111875
ENSG00000126368 ENSG00000174738
ENSG00000129691 ENSG00000147316
ENSG00000114374 ENSG00000183878
ENSG00000159882 ENSG00000256294
ENSG00000204610 ENSG00000204613
ENSG00000065548 ENSG00000196504
ENSG00000047188 ENSG00000164244
ENSG00000147419 ENSG00000158856
ENSG00000136929 ENSG00000158578
ENSG00000255346 ENSG00000258484
ENSG00000055044 ENSG00000065548
ENSG00000113088 ENSG00000116824
ENSG00000105369 ENSG00000143297
ENSG00000117560 ENSG00000145649
ENSG00000121578 ENSG00000154174
ENSG00000175193 ENSG00000205981
ENSG00000147457 ENSG00000221914
ENSG00000168394 ENSG00000204264
ENSG00000148308 ENSG00000188986
ENSG00000180257 ENSG00000213793
ENSG00000114503 ENSG00000163964
ENSG00000156931 ENSG00000163904
ENSG00000153563 ENSG00000172116
ENSG00000105369 ENSG00000254709
ENSG00000189180 ENSG00000196693
ENSG00000131747 ENSG00000186185
ENSG00000093009 ENSG00000101412
ENSG00000121578 ENSG00000163428
ENSG00000165168 ENSG00000182578
ENSG00000147419 ENSG00000197892
ENSG00000090889 ENSG00000131747
ENSG00000116539 ENSG00000119285
ENSG00000165304 ENSG00000175063
ENSG00000117724 ENSG00000131747
ENSG00000134339 ENSG00000255071
ENSG00000197191 ENSG00000198569
ENSG00000112077 ENSG00000163554
ENSG00000146670 ENSG00000167900
ENSG00000085872 ENSG00000141867
ENSG00000000938 ENSG00000116701
ENSG00000113013 ENSG00000133706
ENSG00000089127 ENSG00000111331
ENSG00000143368 ENSG00000143442
ENSG00000147419 ENSG00000154328
ENSG00000104679 ENSG00000158941
ENSG00000105369 ENSG00000170476
ENSG00000137965 ENSG00000138496
ENSG00000093009 ENSG00000131153
ENSG00000078674 ENSG00000158941
ENSG00000122140 ENSG00000187713
ENSG00000113013 ENSG00000113522
ENSG00000033050 ENSG00000135521
ENSG00000143546 ENSG00000163220
ENSG00000130414 ENSG00000144567
ENSG00000147419 ENSG00000147439
ENSG00000132704 ENSG00000177455
ENSG00000046604 ENSG00000134755
ENSG00000165669 ENSG00000197771
ENSG00000104765 ENSG00000198791
