ENSG00000104643 ENSG00000147475
ENSG00000113845 ENSG00000196455
ENSG00000156738 ENSG00000196092
ENSG00000064419 ENSG00000106344
ENSG00000124491 ENSG00000165457
ENSG00000125319 ENSG00000140525
ENSG00000120156 ENSG00000169291
ENSG00000157916 ENSG00000175756
ENSG00000243232 ENSG00000248383
ENSG00000117399 ENSG00000198901
ENSG00000124228 ENSG00000153015
ENSG00000137106 ENSG00000213930
ENSG00000129691 ENSG00000147533
ENSG00000108061 ENSG00000156026
ENSG00000111665 ENSG00000134690
ENSG00000071994 ENSG00000153989
ENSG00000159256 ENSG00000198862
ENSG00000010256 ENSG00000164068
ENSG00000140287 ENSG00000197253
ENSG00000065054 ENSG00000164867
ENSG00000104974 ENSG00000168329
ENSG00000071994 ENSG00000112584
ENSG00000101412 ENSG00000156802
ENSG00000090054 ENSG00000119392
ENSG00000075292 ENSG00000163029
ENSG00000126267 ENSG00000130165
ENSG00000014919 ENSG00000196177
ENSG00000188375 ENSG00000231767
ENSG00000182578 ENSG00000198223
ENSG00000111331 ENSG00000185745
ENSG00000116903 ENSG00000162702
ENSG00000101162 ENSG00000163736
ENSG00000131153 ENSG00000156802
ENSG00000182973 ENSG00000198218
ENSG00000161888 ENSG00000165304
ENSG00000059573 ENSG00000107874
ENSG00000100348 ENSG00000185651
ENSG00000075218 ENSG00000111665
ENSG00000078668 ENSG00000104365
ENSG00000113555 ENSG00000174059
ENSG00000157884 ENSG00000173557
ENSG00000132394 ENSG00000177646
ENSG00000093144 ENSG00000112339
ENSG00000174151 ENSG00000274211
ENSG00000120265 ENSG00000196591
ENSG00000168329 ENSG00000181631
ENSG00000115694 ENSG00000144524
ENSG00000196437 ENSG00000198453
ENSG00000086065 ENSG00000107175
ENSG00000066422 ENSG00000081154
ENSG00000178999 ENSG00000183856
ENSG00000120709 ENSG00000197019
ENSG00000036054 ENSG00000184220
ENSG00000115966 ENSG00000172845
ENSG00000138459 ENSG00000144827
ENSG00000147113 ENSG00000198844
ENSG00000160124 ENSG00000173230
ENSG00000055332 ENSG00000137965
ENSG00000113312 ENSG00000177556
ENSG00000119705 ENSG00000156411
ENSG00000158941 ENSG00000221914
ENSG00000048162 ENSG00000170445
ENSG00000134184 ENSG00000134201
ENSG00000104388 ENSG00000169139
ENSG00000090889 ENSG00000111665
ENSG00000065427 ENSG00000103018
ENSG00000148840 ENSG00000165732
ENSG00000009844 ENSG00000111816
ENSG00000181789 ENSG00000196455
ENSG00000077984 ENSG00000101082
ENSG00000051341 ENSG00000237649
ENSG00000100883 ENSG00000129562
ENSG00000095970 ENSG00000112799
ENSG00000132185 ENSG00000177455
ENSG00000143379 ENSG00000163374
ENSG00000196407 ENSG00000225556
ENSG00000119559 ENSG00000174886
ENSG00000138398 ENSG00000163166
ENSG00000143157 ENSG00000163468
ENSG00000179776 ENSG00000204301
ENSG00000116688 ENSG00000130764
ENSG00000130023 ENSG00000146373
ENSG00000143476 ENSG00000168496
ENSG00000099624 ENSG00000135940
ENSG00000101445 ENSG00000168268
ENSG00000140259 ENSG00000140350
ENSG00000001036 ENSG00000112306
ENSG00000112335 ENSG00000196591
ENSG00000145495 ENSG00000152620
ENSG00000163882 ENSG00000163904
ENSG00000130589 ENSG00000134321
ENSG00000014919 ENSG00000107874
ENSG00000134539 ENSG00000198574
ENSG00000138642 ENSG00000184979
ENSG00000117650 ENSG00000134690
ENSG00000171311 ENSG00000214655
ENSG00000117650 ENSG00000131747
ENSG00000095574 ENSG00000165813
ENSG00000040341 ENSG00000164751
ENSG00000125484 ENSG00000165689
ENSG00000169282 ENSG00000188517
ENSG00000148773 ENSG00000237649
ENSG00000104412 ENSG00000164961
ENSG00000060762 ENSG00000079950
ENSG00000105374 ENSG00000145649
ENSG00000093009 ENSG00000156802
ENSG00000164265 ENSG00000164266
ENSG00000179886 ENSG00000197363
ENSG00000071994 ENSG00000135521
ENSG00000153234 ENSG00000162772
ENSG00000117724 ENSG00000169679
ENSG00000007968 ENSG00000143476
ENSG00000115694 ENSG00000198612
ENSG00000104765 ENSG00000158941
ENSG00000055211 ENSG00000120256
ENSG00000113300 ENSG00000145907
ENSG00000077152 ENSG00000165304
ENSG00000009844 ENSG00000085377
ENSG00000127329 ENSG00000128567
ENSG00000112984 ENSG00000154839
ENSG00000102241 ENSG00000124228
ENSG00000132704 ENSG00000136573
ENSG00000009844 ENSG00000120253
ENSG00000041988 ENSG00000116663
ENSG00000143226 ENSG00000170458
ENSG00000144744 ENSG00000144747
ENSG00000163602 ENSG00000163635
ENSG00000115816 ENSG00000138385
ENSG00000106692 ENSG00000165699
ENSG00000163605 ENSG00000187098
ENSG00000136045 ENSG00000181929
ENSG00000128581 ENSG00000161057
ENSG00000093009 ENSG00000121211
ENSG00000100479 ENSG00000189057
ENSG00000169976 ENSG00000272047
ENSG00000144655 ENSG00000183161
ENSG00000148300 ENSG00000165724
ENSG00000119917 ENSG00000183486
ENSG00000176444 ENSG00000198837
ENSG00000156738 ENSG00000167483
ENSG00000093009 ENSG00000154920
ENSG00000129968 ENSG00000213638
ENSG00000133142 ENSG00000198960
ENSG00000036054 ENSG00000182504
ENSG00000071994 ENSG00000085511
ENSG00000168394 ENSG00000240065
ENSG00000170312 ENSG00000171241
ENSG00000158863 ENSG00000197892
ENSG00000167286 ENSG00000271503
ENSG00000113407 ENSG00000164151
ENSG00000088325 ENSG00000138160
ENSG00000159596 ENSG00000162601
ENSG00000072571 ENSG00000075218
ENSG00000160633 ENSG00000170144
ENSG00000114503 ENSG00000145191
ENSG00000144744 ENSG00000172340
ENSG00000184076 ENSG00000184983
ENSG00000104660 ENSG00000104765
ENSG00000165813 ENSG00000171311
ENSG00000185745 ENSG00000187608
ENSG00000131381 ENSG00000163930
ENSG00000171860 ENSG00000196664
ENSG00000107937 ENSG00000163811
ENSG00000100426 ENSG00000124422
ENSG00000146670 ENSG00000166803
ENSG00000144591 ENSG00000145050
ENSG00000114520 ENSG00000163617
ENSG00000122741 ENSG00000165283
ENSG00000009844 ENSG00000112367
ENSG00000134910 ENSG00000172269
ENSG00000147677 ENSG00000147687
ENSG00000066279 ENSG00000170312
ENSG00000164081 ENSG00000247596
ENSG00000014138 ENSG00000101412
ENSG00000136603 ENSG00000196428
ENSG00000128052 ENSG00000154133
ENSG00000115459 ENSG00000138073
ENSG00000147548 ENSG00000221914
ENSG00000116031 ENSG00000158488
ENSG00000104689 ENSG00000198042
