ENSG00000121957 ENSG00000155307
ENSG00000065883 ENSG00000105778
ENSG00000085840 ENSG00000167900
ENSG00000120662 ENSG00000244754
ENSG00000102786 ENSG00000186184
ENSG00000155463 ENSG00000197958
ENSG00000164961 ENSG00000169398
ENSG00000121879 ENSG00000161204
ENSG00000115085 ENSG00000167984
ENSG00000137501 ENSG00000180008
ENSG00000105829 ENSG00000196367
ENSG00000089351 ENSG00000120948
ENSG00000127419 ENSG00000178950
ENSG00000104897 ENSG00000144895
ENSG00000127329 ENSG00000198844
ENSG00000051180 ENSG00000198901
ENSG00000103275 ENSG00000169189
ENSG00000143457 ENSG00000178096
ENSG00000166986 ENSG00000175063
ENSG00000112234 ENSG00000169976
ENSG00000125971 ENSG00000125995
ENSG00000100902 ENSG00000196943
ENSG00000125166 ENSG00000147905
ENSG00000132842 ENSG00000152422
ENSG00000157911 ENSG00000176022
ENSG00000028839 ENSG00000112592
ENSG00000105373 ENSG00000169100
ENSG00000128011 ENSG00000145623
ENSG00000143379 ENSG00000143393
ENSG00000144895 ENSG00000169251
ENSG00000109534 ENSG00000198498
ENSG00000127452 ENSG00000182141
ENSG00000023516 ENSG00000244754
ENSG00000078140 ENSG00000168936
ENSG00000120963 ENSG00000167904
ENSG00000086730 ENSG00000162711
ENSG00000000457 ENSG00000158773
ENSG00000136819 ENSG00000148300
ENSG00000142945 ENSG00000146670
ENSG00000078808 ENSG00000176022
ENSG00000147548 ENSG00000164488
ENSG00000143155 ENSG00000163159
ENSG00000177889 ENSG00000213337
ENSG00000166169 ENSG00000173915
ENSG00000114098 ENSG00000185798
ENSG00000119392 ENSG00000160445
ENSG00000142694 ENSG00000181029
ENSG00000028137 ENSG00000182578
ENSG00000160714 ENSG00000163374
ENSG00000188229 ENSG00000196116
ENSG00000081019 ENSG00000173812
ENSG00000120156 ENSG00000179776
ENSG00000102870 ENSG00000186517
ENSG00000134697 ENSG00000155438
ENSG00000151576 ENSG00000163389
ENSG00000102572 ENSG00000188342
ENSG00000173473 ENSG00000178149
ENSG00000073712 ENSG00000186522
ENSG00000179295 ENSG00000198015
ENSG00000130193 ENSG00000167904
ENSG00000113360 ENSG00000168724
ENSG00000120686 ENSG00000136152
ENSG00000113555 ENSG00000125810
ENSG00000163660 ENSG00000270170
ENSG00000085511 ENSG00000153989
ENSG00000092094 ENSG00000105193
ENSG00000107862 ENSG00000137038
ENSG00000165264 ENSG00000165280
ENSG00000136819 ENSG00000188986
ENSG00000003400 ENSG00000108424
ENSG00000107014 ENSG00000140379
ENSG00000079387 ENSG00000135457
ENSG00000141424 ENSG00000141452
ENSG00000158793 ENSG00000159377
ENSG00000173369 ENSG00000182578
ENSG00000102755 ENSG00000152661
ENSG00000104731 ENSG00000159579
ENSG00000163608 ENSG00000184220
ENSG00000170889 ENSG00000205339
ENSG00000113522 ENSG00000213585
ENSG00000115970 ENSG00000144381
ENSG00000139180 ENSG00000152944
ENSG00000129460 ENSG00000165792
ENSG00000162390 ENSG00000184313
ENSG00000154359 ENSG00000167470
ENSG00000136146 ENSG00000151849
ENSG00000126709 ENSG00000138646
ENSG00000146067 ENSG00000169223
ENSG00000153207 ENSG00000175895
ENSG00000147649 ENSG00000156170
ENSG00000104687 ENSG00000198042
ENSG00000066739 ENSG00000100441
ENSG00000107669 ENSG00000165660
ENSG00000126226 ENSG00000244754
ENSG00000112146 ENSG00000137221
ENSG00000147439 ENSG00000175324
ENSG00000186204 ENSG00000186529
ENSG00000163607 ENSG00000184363
ENSG00000100603 ENSG00000100883
ENSG00000117153 ENSG00000143252
ENSG00000121933 ENSG00000184574
